Id	Chi-2	Feature	LightGBM	Logistics	Pearson	RFE	Random Forest	Total
1	True	шанс	True	True	True	True	True	6
2	True	чувств	True	True	True	True	True	6
3	True	фокусира	True	True	True	True	True	6
4	True	фенов	True	True	True	True	True	6
5	True	факта	True	True	True	True	True	6
6	True	участва	True	True	True	True	True	6
7	True	успя	True	True	True	True	True	6
8	True	уважава	True	True	True	True	True	6
9	True	треньор	True	True	True	True	True	6
10	True	тренировъч	True	True	True	True	True	6
11	True	тежък	True	True	True	True	True	6
12	True	такав	True	True	True	True	True	6
13	True	стойка	True	True	True	True	True	6
14	True	стане	True	True	True	True	True	6
15	True	срещат	True	True	True	True	True	6
16	True	способ	True	True	True	True	True	6
17	True	специал	True	True	True	True	True	6
18	True	софия	True	True	True	True	True	6
19	True	силен	True	True	True	True	True	6
20	True	решени	True	True	True	True	True	6
21	True	развива	True	True	True	True	True	6
22	True	разбир	True	True	True	True	True	6
23	True	пулев	True	True	True	True	True	6
24	True	приятел	True	True	True	True	True	6
25	True	почивк	True	True	True	True	True	6
26	True	постижени	True	True	True	True	True	6
27	True	получ	True	True	True	True	True	6
28	True	оценява	True	True	True	True	True	6
29	True	общо	True	True	True	True	True	6
30	True	нокаутира	True	True	True	True	True	6
31	True	необходим	True	True	True	True	True	6
32	True	нататъ	True	True	True	True	True	6
33	True	направ	True	True	True	True	True	6
34	True	найваж	True	True	True	True	True	6
35	True	надал	True	True	True	True	True	6
36	True	място	True	True	True	True	True	6
37	True	моя	True	True	True	True	True	6
38	True	мотивир	True	True	True	True	True	6
39	True	млад	True	True	True	True	True	6
40	True	кубра	True	True	True	True	True	6
41	True	край	True	True	True	True	True	6
42	True	клей	True	True	True	True	True	6
43	True	качеств	True	True	True	True	True	6
44	True	карам	True	True	True	True	True	6
45	True	каквот	True	True	True	True	True	6
46	True	истинск	True	True	True	True	True	6
47	True	интересува	True	True	True	True	True	6
48	True	инач	True	True	True	True	True	6
49	True	изобщ	True	True	True	True	True	6
50	True	земя	True	True	True	True	True	6
51	True	здрав	True	True	True	True	True	6
52	True	единств	True	True	True	True	True	6
53	True	дължи	True	True	True	True	True	6
54	True	добри	True	True	True	True	True	6
55	True	децат	True	True	True	True	True	6
56	True	голям	True	True	True	True	True	6
57	True	вярва	True	True	True	True	True	6
58	True	вълнува	True	True	True	True	True	6
59	True	взето	True	True	True	True	True	6
60	True	вериг	True	True	True	True	True	6
61	True	важно	True	True	True	True	True	6
62	True	важен	True	True	True	True	True	6
63	True	бърз	True	True	True	True	True	6
64	True	боксов	True	True	True	True	True	6
65	True	чужби	True	True	True	False	True	5
66	True	чудес	True	True	True	False	True	5
67	False	форма	True	True	True	True	True	5
68	True	състезател	True	True	True	False	True	5
69	True	самият	True	True	True	False	True	5
70	True	път	True	True	True	False	True	5
71	True	публик	True	True	True	False	True	5
72	True	процес	True	True	True	False	True	5
73	False	проблем	True	True	True	True	True	5
74	True	предлож	True	True	True	False	True	5
75	True	правим	True	True	False	True	True	5
76	True	правил	True	True	True	False	True	5
77	True	помогн	True	True	True	False	True	5
78	True	помаг	True	True	True	False	True	5
79	True	подготвя	True	True	True	False	True	5
80	False	подготв	True	True	True	True	True	5
81	True	победит	True	True	True	False	True	5
82	False	план	True	True	True	True	True	5
83	True	окаж	True	True	False	True	True	5
84	True	обрат	True	True	True	False	True	5
85	True	неприят	True	True	True	False	True	5
86	True	невероят	True	True	False	True	True	5
87	True	наясн	True	True	True	False	True	5
88	True	напоследъ	True	True	True	False	True	5
89	False	найдоб	True	True	True	True	True	5
90	False	момче	True	True	True	True	True	5
91	True	лично	True	True	True	False	True	5
92	True	колан	True	True	True	False	True	5
93	True	клуб	True	True	True	False	True	5
94	True	кажа	True	True	True	False	True	5
95	True	излез	True	True	False	True	True	5
96	False	игра	True	True	True	True	True	5
97	True	значител	True	True	False	True	True	5
98	True	доказв	True	True	True	False	True	5
99	True	докаж	True	True	True	False	True	5
100	False	двубой	True	True	True	True	True	5
