Id	Feature	Pearson	Chi-2	RFE	Logistics	Random Forest	LightGBM	Total
1	шанс	True	True	True	True	True	True	6
2	чувств	True	True	True	True	True	True	6
3	фокусира	True	True	True	True	True	True	6
4	фенов	True	True	True	True	True	True	6
5	факта	True	True	True	True	True	True	6
6	участва	True	True	True	True	True	True	6
7	успя	True	True	True	True	True	True	6
8	уважава	True	True	True	True	True	True	6
9	треньор	True	True	True	True	True	True	6
10	тренировъч	True	True	True	True	True	True	6
11	тежък	True	True	True	True	True	True	6
12	такав	True	True	True	True	True	True	6
13	стойка	True	True	True	True	True	True	6
14	стане	True	True	True	True	True	True	6
15	срещат	True	True	True	True	True	True	6
16	способ	True	True	True	True	True	True	6
17	специал	True	True	True	True	True	True	6
18	софия	True	True	True	True	True	True	6
19	силен	True	True	True	True	True	True	6
20	решени	True	True	True	True	True	True	6
21	развива	True	True	True	True	True	True	6
22	разбир	True	True	True	True	True	True	6
23	пулев	True	True	True	True	True	True	6
24	приятел	True	True	True	True	True	True	6
25	почивк	True	True	True	True	True	True	6
26	постижени	True	True	True	True	True	True	6
27	получ	True	True	True	True	True	True	6
28	оценява	True	True	True	True	True	True	6
29	общо	True	True	True	True	True	True	6
30	нокаутира	True	True	True	True	True	True	6
31	необходим	True	True	True	True	True	True	6
32	нататъ	True	True	True	True	True	True	6
33	направ	True	True	True	True	True	True	6
34	найваж	True	True	True	True	True	True	6
35	надал	True	True	True	True	True	True	6
36	място	True	True	True	True	True	True	6
37	моя	True	True	True	True	True	True	6
38	мотивир	True	True	True	True	True	True	6
39	млад	True	True	True	True	True	True	6
40	кубра	True	True	True	True	True	True	6
41	край	True	True	True	True	True	True	6
42	клей	True	True	True	True	True	True	6
43	качеств	True	True	True	True	True	True	6
44	карам	True	True	True	True	True	True	6
45	каквот	True	True	True	True	True	True	6
46	истинск	True	True	True	True	True	True	6
47	интересува	True	True	True	True	True	True	6
48	инач	True	True	True	True	True	True	6
49	изобщ	True	True	True	True	True	True	6
50	земя	True	True	True	True	True	True	6
51	здрав	True	True	True	True	True	True	6
52	единств	True	True	True	True	True	True	6
53	дължи	True	True	True	True	True	True	6
54	добри	True	True	True	True	True	True	6
55	децат	True	True	True	True	True	True	6
56	голям	True	True	True	True	True	True	6
57	вярва	True	True	True	True	True	True	6
58	вълнува	True	True	True	True	True	True	6
59	взето	True	True	True	True	True	True	6
60	вериг	True	True	True	True	True	True	6
61	важно	True	True	True	True	True	True	6
62	важен	True	True	True	True	True	True	6
63	бърз	True	True	True	True	True	True	6
64	боксов	True	True	True	True	True	True	6
65	чужби	True	True	False	True	True	True	5
66	чудес	True	True	False	True	True	True	5
67	форма	True	False	True	True	True	True	5
68	състезател	True	True	False	True	True	True	5
69	самият	True	True	False	True	True	True	5
70	път	True	True	False	True	True	True	5
71	публик	True	True	False	True	True	True	5
72	процес	True	True	False	True	True	True	5
73	проблем	True	False	True	True	True	True	5
74	предлож	True	True	False	True	True	True	5
75	правим	False	True	True	True	True	True	5
76	правил	True	True	False	True	True	True	5
77	помогн	True	True	False	True	True	True	5
78	помаг	True	True	False	True	True	True	5
79	подготвя	True	True	False	True	True	True	5
80	подготв	True	False	True	True	True	True	5
81	победит	True	True	False	True	True	True	5
82	план	True	False	True	True	True	True	5
83	окаж	False	True	True	True	True	True	5
84	обрат	True	True	False	True	True	True	5
85	неприят	True	True	False	True	True	True	5
86	невероят	False	True	True	True	True	True	5
87	наясн	True	True	False	True	True	True	5
88	напоследъ	True	True	False	True	True	True	5
89	найдоб	True	False	True	True	True	True	5
90	момче	True	False	True	True	True	True	5
91	лично	True	True	False	True	True	True	5
92	колан	True	True	False	True	True	True	5
93	клуб	True	True	False	True	True	True	5
94	кажа	True	True	False	True	True	True	5
95	излез	False	True	True	True	True	True	5
96	игра	True	False	True	True	True	True	5
97	значител	False	True	True	True	True	True	5
98	доказв	True	True	False	True	True	True	5
99	докаж	True	True	False	True	True	True	5
100	двубой	True	False	True	True	True	True	5
101	върха	True	True	False	True	True	True	5
102	видим	True	False	True	True	True	True	5
103	бокс	True	True	False	True	True	True	5
104	близък	True	True	False	True	True	True	5
